Vessel name,From,To,Loading condition,hours since last position [h],longitude,latitude
M/S Eco (06),ITTAR,USMSY,Ballast,1,-29.91323892,32.87324338
M/S Eco (06),ITTAR,USMSY,Ballast,1,-30.17282892,32.83865452
M/S Eco (06),ITTAR,USMSY,Ballast,1,-30.434965,32.80182144
M/S Eco (06),ITTAR,USMSY,Ballast,1,-30.71253172,32.76201297
M/S Eco (06),ITTAR,USMSY,Ballast,2,-31.24475384,32.68116446
M/S Eco (06),ITTAR,USMSY,Ballast,1,-31.51195022,32.6419368
M/S Eco (06),ITTAR,USMSY,Ballast,1,-31.77495538,32.60693363
M/S Eco (06),ITTAR,USMSY,Ballast,1,-32.04306928,32.56353225
M/S Eco (06),ITTAR,USMSY,Ballast,1,-32.29420595,32.52782249
M/S Eco (06),ITTAR,USMSY,Ballast,1,-32.56585358,32.48781099
M/S Eco (06),ITTAR,USMSY,Ballast,1,-32.81227315,32.44938293
M/S Eco (06),ITTAR,USMSY,Ballast,1,-33.08414183,32.40872881
M/S Eco (06),ITTAR,USMSY,Ballast,1,-33.33959811,32.37124753
M/S Eco (06),ITTAR,USMSY,Ballast,1,-33.60226003,32.33531898
M/S Eco (06),ITTAR,USMSY,Ballast,1,-33.86513333,32.29801833
M/S Eco (06),ITTAR,USMSY,Ballast,1,-34.11602807,32.26338903
M/S Eco (06),ITTAR,USMSY,Ballast,1,-34.36738345,32.22818694
M/S Eco (06),ITTAR,USMSY,Ballast,1,-34.61589803,32.18807243
M/S Eco (06),ITTAR,USMSY,Ballast,1,-34.86807837,32.15303742
M/S Eco (06),ITTAR,USMSY,Ballast,1,-35.13844409,32.11338324
M/S Eco (06),ITTAR,USMSY,Ballast,1,-35.39296333,32.07474167
M/S Eco (06),ITTAR,USMSY,Ballast,1,-35.62256825,32.03873477
M/S Eco (06),ITTAR,USMSY,Ballast,1,-35.8778204,32.00049466
M/S Eco (06),ITTAR,USMSY,Ballast,1,-36.13660333,31.964225
M/S Eco (06),ITTAR,USMSY,Ballast,1,-36.3785292,31.93347669
M/S Eco (06),ITTAR,USMSY,Ballast,1,-36.61896687,31.90056512
M/S Eco (06),ITTAR,USMSY,Ballast,1,-36.86703333,31.86000333
M/S Eco (06),ITTAR,USMSY,Ballast,1,-37.09628701,31.82390081
M/S Eco (06),ITTAR,USMSY,Ballast,1,-37.31992376,31.78970194
M/S Eco (06),ITTAR,USMSY,Ballast,1,-37.54313667,31.75734667
M/S Eco (06),ITTAR,USMSY,Ballast,1,-37.79711274,31.71781999
M/S Eco (06),ITTAR,USMSY,Ballast,1,-38.04668131,31.68038382
M/S Eco (06),ITTAR,USMSY,Ballast,1,-38.29827953,31.6492716
M/S Eco (06),ITTAR,USMSY,Ballast,1,-38.55997878,31.6130898
M/S Eco (06),ITTAR,USMSY,Ballast,1,-38.80041295,31.57080926
M/S Eco (06),ITTAR,USMSY,Ballast,1,-39.05321,31.52811833
M/S Eco (06),ITTAR,USMSY,Ballast,1,-39.31644292,31.48704738
M/S Eco (06),ITTAR,USMSY,Ballast,1,-39.58748226,31.46022175
M/S Eco (06),ITTAR,USMSY,Ballast,1,-39.8354464,31.41778799
